ID_producto	Descripcion
202140	MEDIA
202141	MEDIA
202142	MEDIA
202143	MEDIA
202144	PANTY
202145	PANTY
202146	PANTY
202147	PANTY
202148	RODILLERA
202149	TOBILLERA
202150	PARAGUA
202151	PARAGUA
202152	ASATEX
202153	PARAGUA
202154	PARAGUA
202155	MEDIA
202156	MEDIA
202157	MEDIA
202158	MEDIA
202159	MEDIA
202160	MEDIA
202161	MEDIA
202162	MEDIA
202163	MEDIA
202164	MEDIA
202165	MEDIA
202167	MEDIA
202168	MEDIA
202169	MEDIA
202170	MEDIA
202171	MEDIA
202172	MEDIA
202173	MEDIA
202174	MEDIA
202175	MEDIA
202176	MEDIA
202177	MEDIA
202178	MEDIA
202179	MEDIA
202180	ASATEX
202181	ASATEX
202182	MEDIA
202183	MEDIA
202184	MEDIA
202185	MEDIA
202186	MEDIA
202187	MEDIA
202188	MEDIA
202189	MEDIA
202190	ASATEX
202191	MEDIA
202192	POLERA
202193	REMERA
202194	REMERA
202195	REMERA
202196	REMERA
202197	REMERA
202198	REMERA
202199	REMERA
2022	LACTOLANDA
202200	REMERA
202200211	PACK
202200212	PACK
202200213	PACK
202200214	PACK
202200216	TANG
202200217	JUGO
202200218	JUGO
202200219	JUGO
202201	POLERA
202202	PARAGUA
202203	SALIDA
202204	SALIDA
202205	TOALLA
202206	MAMADERA
202207	ALMOHADITA
202208	ALMOHADITA
202209	SET
202210	TAZA
202211	TAZA
202212	TAZA
202213	TAZA
202214	TAZA
202215	TAZA
202216	TAZA
202217	TAZA
202218	TAZA
202219	TAZA
202220	TAZA
202221	TAZA
202222	FLORERO
202223	FLORERO
202224	FLORERO
202225	FLORERO
202226	FLORERO
202227	FLORERO
202228	FLORERO
202229	FLORERO
202230	FLORERO
202231	FLORERO
202232	FLORERO
202233	FLORERO
202234	FLORERO
202235	FLORERO
202236	SET
202237	SET
202238	SET
202239	SET
202240	CUNA
202241	MALETA
2022411	MALETA
2022412	MALETA
2022413	MALETA
202242	ESPEJO
202243	ESPEJO
202244	ESPEJO
202245	PORTARETRARO
202246	SET
202247	GOLDEN
2022471	OLLA
2022472	OLLA
2022473	OLLA
2022474	OLLA
2022475	SARTEN
